configuration,Time,CF
dp-encode + dp-train + triples,51.3266,1.507050
dp-encode + dp-train + triples,42.3661,2.349740
dp-encode + dp-train + triples,45.0005,2.290320
dp-encode + dp-train + triples,438.893,1.652090
dp-encode + dp-train + triples,114.51,2.638530
dp-encode + dp-train + triples,61.7675,1.734030
dp-encode + dp-train + triples,42.9799,2.188190
dp-encode + dp-train + triples,421.163,1.771960
dp-encode + dp-train + triples,52.9755,4.477640
dp-encode + dp-train + triples,45.1798,2.353220
dp-encode + dp-train + triples,38.9879,2.293540
dp-encode + dp-train + triples,44.4682,5.282770
dp-encode + dp-train + triples,37.329,2.384490
dp-encode + dp-train + triples,71.5305,1.801740
dp-encode + dp-train + triples,60.0782,3.718990
dp-encode + dp-train + triples,48.5848,5.063870
dp-encode + dp-train + triples,44.2708,1.671980
dp-encode + dp-train + triples,74.2283,2.333680
dp-encode + dp-train + triples,43.6942,1.850140
dp-encode + dp-train + triples,37.5274,2.123340
dp-encode + dp-train + triples,37.6589,2.277530
dp-encode + dp-train + triples,58.2354,1.572670
dp-encode + dp-train + triples,63.0612,1.854340
dp-encode + dp-train + triples,62.5442,1.582220
dp-encode + dp-train + triples,54.9546,2.866280
dp-encode + dp-train + triples,61.6592,2.067410
dp-encode + dp-train + triples,41.3144,1.852590
dp-encode + dp-train + triples,38.9417,2.146180
dp-encode + dp-train + triples,64.5105,1.600740
dp-encode + dp-train + triples,38.0091,1.998160
dp-encode + dp-train + triples,54.0806,2.083270
dp-encode + dp-train + triples,68.0551,2.892380
dp-encode + dp-train + triples,40.1751,1.836190
dp-encode + dp-train + triples,44.3136,3.283920
dp-encode + dp-train + triples,96.2777,2.469290
BtrFSST,44.189,7.647640
BtrFSST,43.3913,7.677910
BtrFSST,40.6238,7.291480
BtrFSST,135.15,3.999460
BtrFSST,46.9767,1.561090
BtrFSST,203.632,1.763760
BtrFSST,71.0145,2.949020
BtrFSST,47.478,1.684080
BtrFSST,49.2552,1.457370
BtrFSST,51.9391,3.293530
BtrFSST,52.564,3.738710
BtrFSST,150.99,1.757810
BtrFSST,127.871,2.715560
BtrFSST,62.691,3.379190
BtrFSST,59.0532,5.458410
BtrFSST,55.9374,1.423110
BtrFSST,56.2965,1.457370
BtrFSST,136.05,2.766890
BtrFSST,55.8623,2.520980
BtrFSST,69.0267,3.490440
BtrFSST,50.558,2.070990
BtrFSST,51.6308,3.177840
BtrFSST,58.2429,1.423110
BtrFSST,136.581,2.715560
BtrFSST,57.1353,4.356130
BtrFSST,132.644,1.543950
BtrFSST,149.148,1.757810
BtrFSST,43.7062,2.124820
BtrFSST,70.3149,2.306090
BtrFSST,48.3573,5.619520
BtrFSST,45.4292,3.177840
BtrFSST,57.1268,5.458410
BtrFSST,92.1386,2.596750
BtrFSST,43.4374,2.124820
BtrFSST,61.7983,3.379190
BtrFSST,64.2516,2.821020
BtrFSST,46.1878,6.286650
BtrFSST,73.3246,1.869080
BtrFSST,53.8155,3.094500
BtrFSST,39.806,1.597600
BtrFSST,37.1279,0.842380
BtrFSST,49.3645,7.847500
BtrFSST,74.456,1.924710
BtrFSST,49.2912,2.410440
BtrFSST,37.4134,3.620150
BtrFSST,43.9719,1.551400
BtrFSST,49.3312,3.181440
BtrFSST,43.6613,1.672860
BtrFSST,32.4188,7.257340
